Event Tweets,Label
[CLS] 5 can regularly rinsing your nose with saline help prevent infection with the new coronavirus [SEP] 4 can eating garlic help prevent infection with the new coronavirus covid19malaysia [SEP] 6 do vaccines against pneumonia protect you against the new coronavirus [SEP] 7 can spraying alcohol or chlorine all over your body kill the new coronavirus chamber [SEP] 8 how effective are thermal scanners in detecting people infected with the new coronavirus [SEP] 9 can an ultraviolet disinfection lamp kill the new coronavirus [SEP] 10 are hand dryers effective in killing the new coronavirus [SEP] 11 the new coronavirus cannot be transmitted through mosquito bites [SEP] 12 taking a hot bath does not prevent the new coronavirus disease [SEP] 13 cold weather and snow cannot kill the new coronavirus [SEP] 14 covid19 virus can be transmitted in areas with hot and humid climates [SEP] 15 drinking alcohol does not protect you against covid19 and can be dangerous [SEP] 16 being able to hold your breath for 10 seconds or more without coughing or feeling discomfort does not mean you are free from the coronavirus disease covid19 or any other lung disease [SEP] 17 you can recover from the coronavirus disease covid19 catching the new coronavirus does not mean you will have it for life [SEP] 18 exposing yourself to the sun or to temperatures higher than 25c degrees does not prevent the coronavirus disease covid19 [SEP] 19 5g mobile networks do not spread covid19 [SEP] ,nonrumour
[CLS] french police chief killed himself after charliehebdo attack [SEP] devastating rt  french police chief killed himself after charliehebdo attack [SEP] nothing to see here move along [SEP] it stinks  these whole affaire [SEP] and tasked with investigating charlie hebdo shooting but obviously just a strange coincidence not like he discovered anything [SEP] fwiw his 2nd in command comitted suicide in 2013 amp he found the body so theres that p [SEP] ohh boyhere v go pakistanis already calling it false flag by eivil jews mt [SEP]  french police chief killed himself after charliehebdo attack    wtf [SEP] why [SEP] yeh sure he did [SEP] why are you reporting this three days after it happened [SEP] those cartoonists are responsible those were sent to hellby humiliating norms of islam and blasphemy of pbuh of islam [SEP] so horrible [SEP] they killed him how can he kill himself was shot in the forehead so taht he doesnt get whos behind it [SEP] what ya wanna bet he was killed [SEP] took it kinda personal i guess sad [SEP] dont worryits all another weird coincidence no conspiracy here [SEP] such a sad loss may he now rip [SEP] how very sad [SEP] the trauma he must have faced very sad [SEP]  french police chief killed himself after charliehebdo attack   rip terrible [SEP] oh no [SEP] we will be very satisfied if nawazsharif resigns here they hide the reports which blames them [SEP] horrible needless did dubya kill himself after 911 or just go braindead [SEP] ,rumour
[CLS] coronavirus disease covid19 advice for the public  should i wear a mask to protect myself  how to put on use take off and dispose of a mask  when and how to use masks [SEP] infection control for suspected or confirmed covid19 cases   who recommendations  cdc recommendations [SEP]  personal protective equipment ppe  n95 respirators and surgical masks face masks  surgical mask vs n95 respirator [SEP] ,nonrumour
[CLS] ottawa police confirm that there were multiple suspects in the shooting saying there were possibly 3 shooters [SEP] i hope this isnt just a prelude to a bigger attack [SEP] killers go berserk when cornered  henceforth no lapses in security should be there [SEP] hahaha you said far more than you think [SEP] terrorists in ottawa [SEP] when canadians of all people start shooting well cest la fin du monde non [SEP] ,nonrumour
[CLS] if the primary focus of a government isnt to alleviate sufferingdeath and promote happinesswellbeing for its citizens why do we need it to begin with [SEP] ,nonrumour
[CLS] 10 are hand dryers effective in killing the new coronavirus [SEP] 15 drinking alcohol does not protect you against covid19 and can be dangerous [SEP] 16 being able to hold your breath for 10 seconds or more without coughing or feeling discomfort does not mean you are free from the coronavirus disease covid19 or any other lung disease [SEP] 17 you can recover from the coronavirus disease covid19 catching the new coronavirus does not mean you will have it for life [SEP] 18 exposing yourself to the sun or to temperatures higher than 25c degrees does not prevent the coronavirus disease covid19 [SEP] 19 5g mobile networks do not spread covid19 [SEP] ,nonrumour
[CLS] does the new coronavirus affect older people or are younger people also susceptible covid_19 health [SEP] do vaccines against pneumonia protect you against the new coronavirus covid_19 corona [SEP] are there any specific medicines to prevent or treat the new coronavirus covid_19 coronavirus [SEP] ,nonrumour
[CLS] q are antibiotics effective in preventing and treating the new coronavirus 2019ncov a no antibiotics do not work against viruses only bacteria the 2019nc0v is a virus and therefore antibiotics should  not be used as a means of prevention or treatment [SEP] q chinese doctors said we will use hiv drug to treat this virus firstly  does this useful  or just trial and error in chinese treatment methodology  [SEP] ,nonrumour
[CLS] a memorial for mh17 victims forms near the netherlands embassy in kiev  roman pilipeyepa [SEP] rip [SEP] putin thinks he was the target and the ukies shot down the wrong plane msnbc   ge ge [SEP] путин убыл её мозг [SEP] u folks didnt deserve this level of tragedyid like 2 offer my condolences to families of the victims [SEP] really sad tragic loss [SEP] ,rumour
[CLS] prime minister tony abbotts statement on the sydneysiege updates [SEP] prime ministers should not have to comment on everything [SEP]  prime minister tony abbotts statement on the sydneysiege updates [SEP] ,nonrumour
[CLS] plumber suing car dealership for 1m after truck he traded in ends up in hands of isis [SEP] will usnato stop free flow of materiel from turkey into sirya or will this add to the belief daesh serves western interests there [SEP] lol too funny [SEP] makes u wonder who the dealership got the loot fromhum [SEP] deck does that mean the coca cola lorry could soon be seen with missile launchers or maybe macdonalds all day breakfast truck [SEP] he used it for those tough clogs [SEP] damn this so bad 2 hell with  that car dealership [SEP] because a lot of the wholesale dealers are arabic and the send them back to the middle east [SEP] i dont understand people they need to call the name on the side of the truck and threaten them is there no common sense [SEP] ,rumour
[CLS] a penis spraypainted on a 25 million bugatti was just for a prank video [SEP]  a penis spraypainted on a 25 million bugatti was just for a prank video [SEP] on  bugatti veyron gold digger surprise prank  savedyouaclick [SEP] boo [SEP] spray can 10usd cleaning 250 used social media reach priceless [SEP] that is horrible i would definitely try to find out who did that and press charges way to nice of a vehicle [SEP] scum sub human scum [SEP]    a penis spraypainted on a 25 million bugatti was just for a prank video [SEP]  a penis spraypainted on a 25 million bugatti was just for a prank video [SEP]  a penis spraypainted on a 25 million bugatti was just for a prank video [SEP] yeah but the prick in the drivers seat is totally real [SEP] ugh  a penis spraypainted on a 25 million bugatti was just for a prank video [SEP] ,rumour
[CLS] translucent butterfly  beautiful  [SEP] ,rumour
[CLS] a pregnant woman has lost her eye after being shot with bean bag by police in ferguson [SEP] poor girl how people can be so bad may she get better  [SEP] wow smh  [SEP] mixtape big freeze amp g nice  no sleep gang 2 reloaded     dmv annapolis maryland nosleepgang [SEP] thats fucked up [SEP] tragic [SEP] you need to get beheaded moron [SEP] im betting that she regrets being amidst the chaos bad choices [SEP] why is a pregnant women in a riot in ferguson [SEP] you guys are known for making people sad amp angry [SEP] so what she is just another black girlwho cares about blacks in usato whites blacks were slaves and still areshm [SEP] maybe she shouldnt have been in the middle of the riot i sure dont feel sorry for her [SEP] petty [SEP] tw  a pregnant woman has lost her eye after being shot with bean bag by police in ferguson   [SEP] fred sanford you big dummy  [SEP] mother fucking police land of the free more land of the nazi obama listen to your people [SEP]  vito a m why for  [SEP] the question is why can the police get away with anything [SEP] police brutality at its best [SEP] she shouldnt of been out  there protesting [SEP] but did she die  [SEP] probably shouldnt have been there to riot [SEP] what difference does it make dip shirt [SEP] maybe dont go to a violent protest if youre pregnant [SEP] shouldnt of been riotinglooting [SEP] im thinkn this is possibly fake [SEP] you should ban this shit in spain several people have lost their eyes or even die because of that [SEP] police suck criminals with a badge [SEP] i dont know why he drove toward them shooting the tires ampnot gas tank wouldve been the better course of action god bless them [SEP] we pray the sister recovers fast [SEP] how can you have a protest if you leave when someone tells you [SEP] why would you be outside in a hostile environment priorities f up [SEP] stop blaming the victim [SEP] thats why everyone tries to come to america [SEP] so she didnt have enough sense to not go to a place of conflict while she was pregnant child endangerment methinks [SEP] yep she was shot with a bean bag round when her ex con boyfriend tried to run down police officers  with his car sad [SEP] dont wanna lose an eyeball stayhome putbabyfirst badmommy [SEP] how about child endangerment for knowingly attending a potential volatile even while pregnant [SEP] classactionlawsuitagainstthepolice [SEP] shouldnt have been in the riot then [SEP] pharrinxchange pharrinxchangeboyz shattermirror [SEP] i guess thats progress they didnt kill them pig bastards [SEP] victim blaming [SEP] police are out of controlthey kkknow they wont be arrested so they attackkk and kkkill without thinking [SEP] stay inside [SEP] those effing bastards [SEP] lmao  [SEP] jesusthats a 10 on the derpitude scale [SEP] hey im pregnant and i know riots arent safe im still going tho [SEP] why were they there in the first place  pregnant riding around lol lame   poor thing stay with your kids   boyfriend [SEP] thats dumb its like youre pregnant wtf are you doing out and about while riots are going on lol [SEP] maybe you should stay home with your baby instead of driving at cops in a riot smh [SEP] and why is a pregnant woman at a riot where people are firebombing buildings and looting [SEP] she has 3 left [SEP] how awful [SEP] any ideot that gord to a roit pregnet enuff said  whers the dcf  save that child from that dope  [SEP] so its her fault she exercised her 2nd amendment right [SEP] this is some sad shit when is it going to end [SEP] ,nonrumour
[CLS] hi everything  ok hi everyone jadi berikut merupakan sedikit informasi untuk mengetahui what is covid19 seperti yang kita tahu ini merupakan virus yang paling baru d temukandan saat ini kita tengah di masa pandemi dont underestimate it lets read [SEP] and here dodoes and dontdoesnt [SEP] stay healthy everyone iya emang terasa bosan dan jenuh tapi bersyukurlah di masa ini kita masi bisa berkumpul dengan keluarga yang di rumah aja kalo kata dokter nahla untuk yg bs d rmh d rmh aja untuk yang belum bisa tetap jaga jarak minimal 2 meter jgn lpa cuci tgan [SEP] ,nonrumour
